method	recall	precision	fpr	fdr	F1	na_precision
ANCOM-BC2	0.08	0.888888888888889	0.00111111111111111	0.111111111111111	0.146788990825688	0
ANCOM-BC2	0.00909090909090909	0.25	0.00303030303030303	0.75	0.0175438596491228	0
ANCOM-BC2	0.025	0.75	0.000925925925925926	0.25	0.0483870967741936	0
ANCOM-BC2	0.0285714285714286	0.4	0.00476190476190476	0.6	0.0533333333333333	0
ANCOM-BC2	0.025	0.571428571428571	0.00208333333333333	0.428571428571429	0.0479041916167665	0
ANCOM-BC2	0.0117647058823529	0.285714285714286	0.00326797385620915	0.714285714285714	0.0225988700564972	0
ANCOM-BC2	0.0222222222222222	0.8	0.000617283950617284	0.2	0.0432432432432432	0
ANCOM-BC2	0.0157894736842105	0.5	0.00175438596491228	0.5	0.0306122448979592	0
ANCOM-BC2	0.016	0.444444444444444	0.00222222222222222	0.555555555555556	0.0308880308880309	0
