method	recall	precision	fpr	fdr	F1
FlashWeave	0.6	0.666666666666667	0.075	0.333333333333333	0.631578947368421
FlashWeave	0.3475	0.776536312849162	0.025	0.223463687150838	0.48013816925734
FlashWeave	0.216666666666667	0.726256983240223	0.0204166666666667	0.273743016759777	0.333761232349166
FlashWeave	0.166666666666667	0.784883720930233	0.0114197530864198	0.215116279069767	0.274949083503055
FlashWeave	0.140196078431373	0.8125	0.00808823529411765	0.1875	0.239130434782609
FlashWeave	0.104065040650407	0.752941176470588	0.00853658536585366	0.247058823529412	0.182857142857143
FlashWeave	0.102777777777778	0.783068783068783	0.00711805555555556	0.216931216931217	0.1817065684469
FlashWeave	0.08625	0.741935483870968	0.0075	0.258064516129032	0.154535274356103
FlashWeave	0.0711111111111111	0.790123456790123	0.00472222222222222	0.209876543209877	0.130479102956167
FlashWeave	0.0705	0.770491803278688	0.00525	0.229508196721311	0.129180027485112
